Year,Anomaly,Temperature,Decade,MA_5,MA_10
1947,-1.3448305555555555,10.830166666666665,1940,-0.28738055555555536,-0.11102222222222209
1948,0.4026694444444449,12.577666666666666,1940,-0.07746388888888864,-0.12487222222222208
1949,0.06558611111111136,12.240583333333333,1940,-0.08914722222222206,-0.13167222222222205
1950,0.3106694444444447,12.485666666666667,1950,0.14530277777777795,-0.0974888888888887
1951,0.12016944444444437,12.295166666666667,1950,0.07073611111111125,0.005352777777777995
1952,-0.17258055555555551,12.002416666666667,1950,0.09240277777777796,-0.11053055555555533
1953,0.029836111111111358,12.204833333333333,1950,0.08816944444444462,-0.04215555555555535
1954,0.17391944444444488,12.348916666666668,1950,-0.13191388888888864,-0.06598888888888874
1955,0.28950277777777805,12.464500000000001,1950,-0.22961388888888865,0.0012777777777778887
1956,-0.9802472222222219,11.194749999999999,1950,-0.20271388888888872,0.0362027777777779
1957,-0.6610805555555556,11.513916666666667,1950,-0.08984722222222215,0.104127777777778
1958,0.1643361111111111,12.339333333333334,1950,-0.0157638888888888,0.12355277777777803
1959,0.7382527777777775,12.91325,1950,0.34016944444444464,0.06236944444444463
1960,0.6599194444444448,12.834916666666667,1960,0.47671944444444475,0.09671111111111129
1961,0.7994194444444452,12.974416666666668,1960,0.327452777777778,0.03345277777777798
1962,0.02166944444444478,12.196666666666665,1960,0.28326944444444474,0.12631111111111132
1963,-0.5819972222222224,11.592999999999998,1960,0.08266944444444475,0.19011944444444465
1964,0.5173361111111114,12.692333333333332,1960,-0.08754722222222203,0.16276111111111133
1965,-0.34308055555555517,11.831916666666666,1960,-0.0964805555555554,0.021952777777778053
1966,-0.0516638888888886,12.123333333333333,1960,-0.0019305555555553244,-0.08163888888888864
1967,-0.022997222222222113,12.152000000000001,1960,-0.23936388888888863,-0.1777555555555554
1968,-0.10924722222222201,12.06575,1960,-0.245947222222222,-0.17653055555555539
1969,-0.6698305555555552,11.505166666666668,1960,-0.2679638888888888,-0.08612222222222202
1970,-0.3759972222222221,11.799,1970,-0.2565805555555554,-0.20723055555555536
1971,-0.16174722222222243,12.01325,1970,-0.17031388888888874,-0.12080555555555543
1972,0.033919444444444925,12.208916666666667,1970,-0.1750972222222221,-0.1538972222222221
1973,0.3220861111111113,12.497083333333334,1970,0.004336111111111163,-0.12266388888888875
1974,-0.6937472222222221,11.481250000000001,1970,-0.03983055555555541,-0.0375972222222221
1975,0.5211694444444442,12.696166666666665,1970,0.011252777777777872,0.09028611111111123
1976,-0.3825805555555553,11.792416666666666,1970,0.0951194444444445,0.045436111111111246
1977,0.28933611111111135,12.464333333333334,1970,0.3556694444444445,0.0019027777777779532
1978,0.7414194444444445,12.916416666666668,1970,0.08653611111111133,0.04078611111111123
1979,0.6090027777777781,12.783999999999999,1970,0.04363611111111128,0.03971111111111124
1980,-0.8244972222222219,11.350499999999998,1980,0.07031944444444457,0.08381944444444459
1981,-0.5970805555555555,11.577916666666667,1980,-0.015697222222222064,0.040736111111111264
1982,0.4227527777777778,12.59775,1980,-0.1880305555555554,0.033386111111111276
1983,0.3113361111111113,12.486333333333334,1980,-0.005063888888888826,0.034594444444444615
1984,-0.25266388888888863,11.922333333333334,1980,0.023136111111111256,-0.02316388888888873
1985,0.0903361111111111,12.265333333333333,1980,-0.001130555555555368,0.004202777777777877
1986,-0.4560805555555551,11.718916666666667,1980,-0.03063055555555542,0.2046777777777778
1987,0.3014194444444447,12.476416666666667,1980,0.19643611111111114,0.29802777777777784
1988,0.16383611111111104,12.338833333333334,1980,0.41441944444444445,0.31109444444444445
